year,state,congressional_district,party,candidatevotes,totalvotes
1976,PENNSYLVANIA,19,REPUBLICAN,124098,175784
1976,PENNSYLVANIA,20,DEMOCRAT,134961,180055
1976,PENNSYLVANIA,21,DEMOCRAT,99160,166923
1976,PENNSYLVANIA,22,DEMOCRAT,97036,175416
1976,PENNSYLVANIA,23,DEMOCRAT,95821,169462
1976,PENNSYLVANIA,24,REPUBLICAN,101048,182526
1976,PENNSYLVANIA,25,REPUBLICAN,103632,182489
1976,RHODE ISLAND,1,DEMOCRAT,116674,187002
1976,RHODE ISLAND,2,DEMOCRAT,154453,201912
1976,SOUTH CAROLINA,1,DEMOCRAT,89891,130503
1976,SOUTH CAROLINA,2,REPUBLICAN,83426,144995
1976,SOUTH CAROLINA,3,DEMOCRAT,117740,117855
1976,SOUTH CAROLINA,4,DEMOCRAT,91721,124765
1976,SOUTH CAROLINA,5,DEMOCRAT,66073,128510
1976,SOUTH CAROLINA,6,DEMOCRAT,75916,136896
1976,SOUTH DAKOTA,1,REPUBLICAN,121587,152402
1976,SOUTH DAKOTA,2,REPUBLICAN,99601,142569
1976,TENNESSEE,1,REPUBLICAN,97781,168734
1976,TENNESSEE,2,REPUBLICAN,117256,186707
1976,TENNESSEE,3,DEMOCRAT,123872,183569
1976,TENNESSEE,4,DEMOCRAT,115392,122723
1976,TENNESSEE,5,DEMOCRAT,125830,136151
1976,TENNESSEE,6,REPUBLICAN,116905,181375
1976,TENNESSEE,7,DEMOCRAT,105684,105699
1976,TENNESSEE,8,DEMOCRAT,100683,165954
1976,TEXAS,1,DEMOCRAT,135384,161718
1976,TEXAS,2,DEMOCRAT,133910,140902
1976,TEXAS,3,REPUBLICAN,171343,231413
1976,TEXAS,4,DEMOCRAT,105394,168035
1976,TEXAS,5,DEMOCRAT,67871,125768
1976,TEXAS,6,DEMOCRAT,119025,180534
1976,TEXAS,7,REPUBLICAN,193127,193127
1976,TEXAS,8,DEMOCRAT,84404,139163
1976,TEXAS,9,DEMOCRAT,112945,112945
1976,TEXAS,10,DEMOCRAT,160683,209165
1976,TEXAS,11,DEMOCRAT,92142,160515
1976,TEXAS,12,DEMOCRAT,101814,134259
1976,TEXAS,13,DEMOCRAT,101798,171673
1976,TEXAS,14,DEMOCRAT,93589,152377
1976,TEXAS,15,DEMOCRAT,102837,138283
1976,TEXAS,16,DEMOCRAT,71876,124375
1976,TEXAS,17,DEMOCRAT,127613,127613
1976,TEXAS,18,DEMOCRAT,93953,109876
1976,TEXAS,19,DEMOCRAT,87908,160899
1976,TEXAS,20,DEMOCRAT,90173,90173
1976,TEXAS,21,DEMOCRAT,149395,210300
1976,TEXAS,22,DEMOCRAT,96535,192802
1976,TEXAS,23,DEMOCRAT,96481,96481
1976,TEXAS,24,DEMOCRAT,82743,130522
1976,UTAH,1,DEMOCRAT,155631,267531
1976,UTAH,2,REPUBLICAN,144861,276300
1976,VERMONT,0,REPUBLICAN,124458,184783
1976,VIRGINIA,1,REPUBLICAN,71789,147850
1976,VIRGINIA,2,REPUBLICAN,79381,120847
1976,VIRGINIA,3,DEMOCRAT,129066,146788
1976,VIRGINIA,4,REPUBLICAN,74495,140480
1976,VIRGINIA,5,DEMOCRAT,101038,101079
1976,VIRGINIA,6,REPUBLICAN,90830,145976
1976,VIRGINIA,7,REPUBLICAN,115508,141482
1976,VIRGINIA,8,DEMOCRAT,83245,161327
1976,VIRGINIA,9,REPUBLICAN,96052,167504
1976,VIRGINIA,10,DEMOCRAT,103689,189489
1976,WASHINGTON,1,REPUBLICAN,161354,224561
1976,WASHINGTON,2,DEMOCRAT,107328,217858
1976,WASHINGTON,3,DEMOCRAT,145198,205072
1976,WASHINGTON,4,DEMOCRAT,115364,199664
1976,WASHINGTON,5,DEMOCRAT,120415,207571
1976,WASHINGTON,6,DEMOCRAT,137964,187754
1976,WASHINGTON,7,DEMOCRAT,133673,183122
1976,WEST VIRGINIA,1,DEMOCRAT,108055,186189
1976,WEST VIRGINIA,2,DEMOCRAT,145405,197635
1976,WEST VIRGINIA,3,DEMOCRAT,128086,128086
1976,WEST VIRGINIA,4,DEMOCRAT,73626,161518
1976,WISCONSIN,1,DEMOCRAT,136162,209807
1976,WISCONSIN,2,DEMOCRAT,155158,236545
1976,WISCONSIN,3,DEMOCRAT,139083,239311
1976,WISCONSIN,4,DEMOCRAT,172166,172243
1976,WISCONSIN,5,DEMOCRAT,134935,173511
1976,WISCONSIN,6,REPUBLICAN,139541,220271
1976,WISCONSIN,7,DEMOCRAT,171366,233937
1976,WISCONSIN,8,DEMOCRAT,115996,228106
1976,WISCONSIN,9,REPUBLICAN,163791,248524
1976,WYOMING,0,DEMOCRAT,85721,151868
1978,ALABAMA,1,REPUBLICAN,71711,112161
1978,ALABAMA,2,REPUBLICAN,57924,107265
1978,ALABAMA,3,DEMOCRAT,74895,74897
1978,ALABAMA,4,DEMOCRAT,87380,87381
1978,ALABAMA,5,DEMOCRAT,68985,71236
1978,ALABAMA,6,REPUBLICAN,65700,106471
1978,ALABAMA,7,DEMOCRAT,77742,82868
1978,ALASKA,0,REPUBLICAN,68811,124187
1978,ARIZONA,1,REPUBLICAN,81108,114286
1978,ARIZONA,2,DEMOCRAT,67878,129197
1978,ARIZONA,3,DEMOCRAT,111850,131663
1978,ARIZONA,4,REPUBLICAN,90768,143836
1978,ARKANSAS,1,DEMOCRAT,1,1
1978,ARKANSAS,2,REPUBLICAN,65285,127425
1978,ARKANSAS,3,REPUBLICAN,130086,165834
1978,ARKANSAS,4,DEMOCRAT,1,1
1978,CALIFORNIA,1,DEMOCRAT,125122,210812
1978,CALIFORNIA,2,REPUBLICAN,114451,220260
1978,CALIFORNIA,3,DEMOCRAT,105537,197503
1978,CALIFORNIA,4,DEMOCRAT,87764,158497
1978,CALIFORNIA,5,DEMOCRAT,106046,158649
1978,CALIFORNIA,6,DEMOCRAT,81801,119768
1978,CALIFORNIA,7,DEMOCRAT,109676,172865
1978,CALIFORNIA,8,DEMOCRAT,94824,165305
1978,CALIFORNIA,9,DEMOCRAT,88179,134879
1978,CALIFORNIA,10,DEMOCRAT,84488,125862
1978,CALIFORNIA,11,DEMOCRAT,92882,153464
1978,CALIFORNIA,12,REPUBLICAN,116982,160085
1978,CALIFORNIA,13,DEMOCRAT,100809,175361
1978,CALIFORNIA,14,REPUBLICAN,95962,179727
1978,CALIFORNIA,15,DEMOCRAT,75212,125126
1978,CALIFORNIA,16,DEMOCRAT,104550,170358
1978,CALIFORNIA,17,REPUBLICAN,81296,149181
1978,CALIFORNIA,18,REPUBLICAN,85663,144563
1978,CALIFORNIA,19,REPUBLICAN,123192,171751
1978,CALIFORNIA,20,REPUBLICAN,129714,195409
1978,CALIFORNIA,21,DEMOCRAT,73869,124138
1978,CALIFORNIA,22,REPUBLICAN,99502,153944
1978,CALIFORNIA,23,DEMOCRAT,117498,178994
1978,CALIFORNIA,24,DEMOCRAT,85075,135771
1978,CALIFORNIA,25,DEMOCRAT,45881,68086
1978,CALIFORNIA,26,REPUBLICAN,113059,113059
1978,CALIFORNIA,27,REPUBLICAN,89392,175272
1978,CALIFORNIA,28,DEMOCRAT,97592,97592
1978,CALIFORNIA,29,DEMOCRAT,65214,76726
1978,CALIFORNIA,30,DEMOCRAT,66241,92752
1978,CALIFORNIA,31,DEMOCRAT,55667,82157
1978,CALIFORNIA,32,DEMOCRAT,74004,103609
1978,CALIFORNIA,33,REPUBLICAN,79533,142073
1978,CALIFORNIA,34,REPUBLICAN,90554,168572
1978,CALIFORNIA,35,DEMOCRAT,80388,148830
1978,CALIFORNIA,36,DEMOCRAT,80448,127865
1978,CALIFORNIA,37,REPUBLICAN,106581,173588
1978,CALIFORNIA,38,DEMOCRAT,75471,128769
1978,CALIFORNIA,39,REPUBLICAN,112160,176051
1978,CALIFORNIA,40,REPUBLICAN,147882,224240
1978,CALIFORNIA,41,REPUBLICAN,107685,185225
