state_code,state,congressional_district,year,male_child,male_teen,male_adult,female_child,female_teen,female_adult,Females under 5 years,Females 5 to 9 years,Females 10 to 14 years,Females 15 to 17 years,Females 18 and 19 years,Females 20 years,Females 21 years,Females 22 to 24 years,Females 25 to 29 years,Females 30 to 34 years,Females 35 to 39 years,Females 40 to 44 years,Females 45 to 49 years,Females 50 to 54 years,Females 55 to 59 years,Females 60 and 61 years,Females 62 to 64 years,Females 65 and 66 years,Females 67 to 69 years,Females 70 to 74 years,Females 75 to 79 years,Females 80 to 84 years,Females 85 years and over,Males under 5 years,Males 5 to 9 years,Males 10 to 14 years,Males 15 to 17 years,Males 18 and 19 years,Males 20 years,Males 21 years,Males 22 to 24 years,Males 25 to 29 years,Males 30 to 34 years,Males 35 to 39 years,Males 40 to 44 years,Males 45 to 49 years,Males 50 to 54 years,Males 55 to 59 years,Males 60 and 61 years,Males 62 to 64 years,Males 65 and 66 years,Males 67 to 69 years,Males 70 to 74 years,Males 75 to 79 years,Males 80 to 84 years,Males 85 years and over
06,California,14,2013,51942.0,33417.0,267722.0,49412.0,31481.0,282530.0,20811,21056,18864,11768,8395,3880,4598,12459,24242,25209,26605,26802,26382,27200,24974,9580,13354,7481,9158,11935,10038,8304,10329,21912,21722,20770,12508,8447,4751,4513,14705,25504,25621,27251,26398,26643,26693,23628,8641,11594,6358,7015,9996,7760,5309,5342
06,California,15,2013,60854.0,38978.0,253049.0,58672.0,36167.0,267720.0,24569,24402,24254,14427,7188,4445,3716,12830,23599,26004,27519,28363,28785,26380,22691,8093,11582,6058,7287,9755,7234,6733,6646,25390,25479,24963,15264,8737,4753,4283,13412,23629,24767,26504,27681,28392,26464,21678,7734,10118,6002,6208,8136,5370,4022,3896
06,California,16,2013,75694.0,50903.0,225917.0,73734.0,47492.0,233859.0,31352,30374,30020,17478,12002,5957,6257,15820,27555,25795,22319,20483,21290,21000,17183,6624,7974,5177,5778,7934,6397,4995,5321,32937,30370,30968,19486,12837,6663,6168,17112,27836,25564,22696,20774,20205,19794,16729,5631,7937,4343,5336,7317,5033,3594,3185
06,California,17,2013,58845.0,34414.0,266353.0,55858.0,33412.0,266976.0,24118,23127,21534,13016,7476,3562,3544,11830,27629,30210,27824,28428,27081,26312,20711,7152,9631,5481,6693,10115,8115,6255,6403,25259,24964,21556,13244,8237,3801,4599,13073,28131,30871,31320,28784,28402,26441,21383,6898,8887,4717,6536,7907,6212,4719,3672
06,California,18,2013,57185.0,36347.0,265517.0,52240.0,33242.0,272759.0,20308,23264,21670,12648,7592,3643,2972,11986,21521,24325,25264,27555,29085,27704,23806,9083,11392,7233,8533,11680,8628,8205,10144,22532,25114,23848,13247,8792,4007,4171,12626,24833,24399,24256,27578,28243,28390,24505,8458,10414,6202,8168,10304,7432,6239,5292
06,California,19,2013,60119.0,39587.0,256723.0,60034.0,37429.0,257847.0,25188,25662,22962,14079,9573,5490,4939,14350,25713,25510,26964,26446,25081,23652,21118,7113,10249,6036,7385,9374,7163,5650,5614,25778,24771,23926,14905,10327,5214,5139,16394,27983,27592,27417,27314,27118,24565,20233,6896,8546,4707,6951,7862,5338,4223,3231
06,California,20,2013,61894.0,44202.0,254946.0,59350.0,41151.0,249692.0,25417,24945,22471,14575,13094,6049,6577,16304,24203,23483,21729,21664,22026,23042,21920,7821,10540,5984,6718,9590,7558,6918,7566,26358,25467,25174,15523,13575,7149,7178,18833,27235,25933,25426,23273,23469,22825,20447,8868,10230,5406,6199,8143,5837,4227,4268
06,California,21,2013,78314.0,49962.0,248567.0,76458.0,46497.0,205131.0,32670,32380,28522,18413,10971,5767,5505,15079,23311,22244,20983,20345,18854,18120,14585,4758,7075,4186,5481,6064,4992,4011,3771,33421,32559,30837,18075,13385,7641,7208,20720,33022,28947,26790,25497,23432,21580,16909,5518,7325,3748,4496,6720,4023,2843,2148
06,California,22,2013,70110.0,47917.0,234272.0,68178.0,44873.0,250160.0,28689,28499,27475,17267,11121,6382,6159,15810,25630,23378,22313,23303,22832,22367,20442,7444,10036,6071,6914,9292,7129,7002,7656,29134,29052,29812,18496,11534,5638,6027,15807,26699,23924,21450,23067,22382,20971,18677,6685,9030,5603,6433,7449,5844,4424,4162
06,California,23,2013,67000.0,45270.0,247572.0,62908.0,42208.0,245085.0,27331,25096,26204,16714,9772,5501,4737,14402,24331,22786,21995,21489,23882,23761,20779,7672,10074,6665,7488,9969,7652,6042,5860,28308,27703,27473,17762,11025,5341,6427,16331,26409,25132,22884,22856,24735,24510,20759,7409,9756,5362,7192,8807,6263,4178,3221
