year,state,majority_state_party,px_code
1986,OREGON,DEMOCRAT,OR
1986,PENNSYLVANIA,DEMOCRAT,PA
1986,RHODE ISLAND,REPUBLICAN,RI
1986,SOUTH CAROLINA,DEMOCRAT,SC
1986,SOUTH DAKOTA,DEMOCRAT,SD
1986,TENNESSEE,DEMOCRAT,TN
1986,TEXAS,DEMOCRAT,TX
1986,UTAH,REPUBLICAN,UT
1986,VERMONT,REPUBLICAN,VT
1986,VIRGINIA,DEMOCRAT,VA
1986,WASHINGTON,DEMOCRAT,WA
1986,WEST VIRGINIA,DEMOCRAT,WV
1986,WISCONSIN,DEMOCRAT,WI
1986,WYOMING,REPUBLICAN,WY
1988,ALABAMA,DEMOCRAT,AL
1988,ALASKA,REPUBLICAN,AK
1988,ARIZONA,REPUBLICAN,AZ
1988,ARKANSAS,REPUBLICAN,AR
1988,CALIFORNIA,DEMOCRAT,CA
1988,COLORADO,REPUBLICAN,CO
1988,CONNECTICUT,REPUBLICAN,CT
1988,DELAWARE,DEMOCRAT,DE
1988,DISTRICT OF COLUMBIA,DEMOCRAT,
1988,FLORIDA,DEMOCRAT,FL
1988,GEORGIA,DEMOCRAT,GA
1988,HAWAII,DEMOCRAT,HI
1988,IDAHO,REPUBLICAN,ID
1988,ILLINOIS,DEMOCRAT,IL
1988,INDIANA,DEMOCRAT,IN
1988,IOWA,DEMOCRAT,IA
1988,KANSAS,REPUBLICAN,KS
1988,KENTUCKY,REPUBLICAN,KY
1988,LOUISIANA,REPUBLICAN,LA
1988,MAINE,REPUBLICAN,ME
1988,MARYLAND,DEMOCRAT,MD
1988,MASSACHUSETTS,DEMOCRAT,MA
1988,MICHIGAN,DEMOCRAT,MI
1988,MINNESOTA,DEMOCRAT,MN
1988,MISSISSIPPI,DEMOCRAT,MS
1988,MISSOURI,DEMOCRAT,MO
1988,MONTANA,DEMOCRAT,MT
1988,NEBRASKA,REPUBLICAN,NE
1988,NEVADA,DEMOCRAT,NV
1988,NEW HAMPSHIRE,REPUBLICAN,NH
1988,NEW JERSEY,REPUBLICAN,NJ
1988,NEW MEXICO,REPUBLICAN,NM
1988,NEW YORK,DEMOCRAT,NY
1988,NORTH CAROLINA,DEMOCRAT,NC
1988,NORTH DAKOTA,DEMOCRAT,ND
1988,OHIO,REPUBLICAN,OH
1988,OKLAHOMA,DEMOCRAT,OK
1988,OREGON,DEMOCRAT,OR
1988,PENNSYLVANIA,DEMOCRAT,PA
1988,RHODE ISLAND,REPUBLICAN,RI
1988,SOUTH CAROLINA,DEMOCRAT,SC
1988,SOUTH DAKOTA,DEMOCRAT,SD
1988,TENNESSEE,DEMOCRAT,TN
1988,TEXAS,DEMOCRAT,TX
1988,UTAH,REPUBLICAN,UT
1988,VERMONT,REPUBLICAN,VT
1988,VIRGINIA,REPUBLICAN,VA
1988,WASHINGTON,DEMOCRAT,WA
1988,WEST VIRGINIA,DEMOCRAT,WV
1988,WISCONSIN,DEMOCRAT,WI
1988,WYOMING,REPUBLICAN,WY
1990,ALABAMA,DEMOCRAT,AL
1990,ALASKA,REPUBLICAN,AK
1990,ARIZONA,REPUBLICAN,AZ
1990,ARKANSAS,REPUBLICAN,AR
1990,CALIFORNIA,DEMOCRAT,CA
1990,COLORADO,DEMOCRAT,CO
1990,CONNECTICUT,REPUBLICAN,CT
1990,DELAWARE,DEMOCRAT,DE
1990,DISTRICT OF COLUMBIA,DEMOCRAT,
1990,FLORIDA,REPUBLICAN,FL
1990,GEORGIA,DEMOCRAT,GA
1990,HAWAII,DEMOCRAT,HI
1990,IDAHO,DEMOCRAT,ID
1990,ILLINOIS,REPUBLICAN,IL
1990,INDIANA,REPUBLICAN,IN
1990,IOWA,DEMOCRAT,IA
1990,KANSAS,DEMOCRAT,KS
1990,KENTUCKY,REPUBLICAN,KY
1990,LOUISIANA,REPUBLICAN,LA
1990,MAINE,DEMOCRAT,ME
1990,MARYLAND,DEMOCRAT,MD
1990,MASSACHUSETTS,REPUBLICAN,MA
1990,MICHIGAN,DEMOCRAT,MI
1990,MINNESOTA,DEMOCRAT,MN
1990,MISSISSIPPI,DEMOCRAT,MS
1990,MISSOURI,DEMOCRAT,MO
1990,MONTANA,REPUBLICAN,MT
1990,NEBRASKA,REPUBLICAN,NE
1990,NEVADA,DEMOCRAT,NV
1990,NEW HAMPSHIRE,REPUBLICAN,NH
1990,NEW JERSEY,REPUBLICAN,NJ
1990,NEW MEXICO,REPUBLICAN,NM
1990,NEW YORK,DEMOCRAT,NY
1990,NORTH CAROLINA,DEMOCRAT,NC
1990,NORTH DAKOTA,DEMOCRAT,ND
1990,OHIO,DEMOCRAT,OH
1990,OKLAHOMA,DEMOCRAT,OK
1990,OREGON,DEMOCRAT,OR
1990,PENNSYLVANIA,REPUBLICAN,PA
1990,RHODE ISLAND,DEMOCRAT,RI
1990,SOUTH CAROLINA,DEMOCRAT,SC
1990,SOUTH DAKOTA,DEMOCRAT,SD
1990,TENNESSEE,REPUBLICAN,TN
1990,TEXAS,REPUBLICAN,TX
1990,UTAH,DEMOCRAT,UT
1990,VERMONT,INDEPENDENT,VT
1990,VIRGINIA,DEMOCRAT,VA
1990,WASHINGTON,DEMOCRAT,WA
1990,WEST VIRGINIA,DEMOCRAT,WV
1990,WISCONSIN,DEMOCRAT,WI
1990,WYOMING,REPUBLICAN,WY
1992,ALABAMA,DEMOCRAT,AL
1992,ALASKA,REPUBLICAN,AK
1992,ARIZONA,REPUBLICAN,AZ
1992,ARKANSAS,DEMOCRAT,AR
1992,CALIFORNIA,DEMOCRAT,CA
1992,COLORADO,DEMOCRAT,CO
1992,CONNECTICUT,REPUBLICAN,CT
1992,DELAWARE,REPUBLICAN,DE
1992,DISTRICT OF COLUMBIA,DEMOCRAT,
1992,FLORIDA,REPUBLICAN,FL
1992,GEORGIA,DEMOCRAT,GA
1992,HAWAII,DEMOCRAT,HI
1992,IDAHO,REPUBLICAN,ID
1992,ILLINOIS,DEMOCRAT,IL
1992,INDIANA,DEMOCRAT,IN
1992,IOWA,REPUBLICAN,IA
1992,KANSAS,REPUBLICAN,KS
1992,KENTUCKY,DEMOCRAT,KY
1992,LOUISIANA,REPUBLICAN,LA
1992,MAINE,DEMOCRAT,ME
1992,MARYLAND,DEMOCRAT,MD
1992,MASSACHUSETTS,DEMOCRAT,MA
1992,MICHIGAN,REPUBLICAN,MI
1992,MINNESOTA,DEMOCRAT,MN
1992,MISSISSIPPI,DEMOCRAT,MS
1992,MISSOURI,DEMOCRAT,MO
1992,MONTANA,DEMOCRAT,MT
1992,NEBRASKA,REPUBLICAN,NE
1992,NEVADA,DEMOCRAT,NV
1992,NEW HAMPSHIRE,DEMOCRAT,NH
1992,NEW JERSEY,REPUBLICAN,NJ
1992,NEW MEXICO,DEMOCRAT,NM
1992,NEW YORK,DEMOCRAT,NY
1992,NORTH CAROLINA,REPUBLICAN,NC
1992,NORTH DAKOTA,DEMOCRAT,ND
1992,OHIO,REPUBLICAN,OH
1992,OKLAHOMA,DEMOCRAT,OK
1992,OREGON,REPUBLICAN,OR
1992,PENNSYLVANIA,REPUBLICAN,PA
1992,RHODE ISLAND,DEMOCRAT,RI
1992,SOUTH CAROLINA,REPUBLICAN,SC
1992,SOUTH DAKOTA,DEMOCRAT,SD
1992,TENNESSEE,REPUBLICAN,TN
1992,TEXAS,REPUBLICAN,TX
1992,UTAH,REPUBLICAN,UT
1992,VERMONT,INDEPENDENT,VT
1992,VIRGINIA,REPUBLICAN,VA
1992,WASHINGTON,REPUBLICAN,WA
1992,WEST VIRGINIA,DEMOCRAT,WV
1992,WISCONSIN,DEMOCRAT,WI
1992,WYOMING,REPUBLICAN,WY
1994,ALABAMA,REPUBLICAN,AL
1994,ALASKA,REPUBLICAN,AK
1994,ARIZONA,DEMOCRAT,AZ
1994,ARKANSAS,REPUBLICAN,AR
1994,CALIFORNIA,DEMOCRAT,CA
1994,COLORADO,REPUBLICAN,CO
1994,CONNECTICUT,REPUBLICAN,CT
1994,DELAWARE,REPUBLICAN,DE
1994,DISTRICT OF COLUMBIA,DEMOCRAT,
1994,FLORIDA,REPUBLICAN,FL
1994,GEORGIA,DEMOCRAT,GA
1994,HAWAII,DEMOCRAT,HI
1994,IDAHO,REPUBLICAN,ID
1994,ILLINOIS,DEMOCRAT,IL
1994,INDIANA,REPUBLICAN,IN
1994,IOWA,REPUBLICAN,IA
1994,KANSAS,REPUBLICAN,KS
1994,KENTUCKY,REPUBLICAN,KY
1994,LOUISIANA,REPUBLICAN,LA
1994,MAINE,REPUBLICAN,ME
1994,MARYLAND,DEMOCRAT,MD
1994,MASSACHUSETTS,DEMOCRAT,MA
1994,MICHIGAN,REPUBLICAN,MI
1994,MINNESOTA,REPUBLICAN,MN
1994,MISSISSIPPI,REPUBLICAN,MS
1994,MISSOURI,REPUBLICAN,MO
1994,MONTANA,DEMOCRAT,MT
1994,NEBRASKA,REPUBLICAN,NE
1994,NEVADA,REPUBLICAN,NV
1994,NEW HAMPSHIRE,REPUBLICAN,NH
1994,NEW JERSEY,DEMOCRAT,NJ
1994,NEW MEXICO,REPUBLICAN,NM
1994,NEW YORK,DEMOCRAT,NY
1994,NORTH CAROLINA,REPUBLICAN,NC
1994,NORTH DAKOTA,DEMOCRAT,ND
1994,OHIO,REPUBLICAN,OH
1994,OKLAHOMA,DEMOCRAT,OK
1994,OREGON,DEMOCRAT,OR
1994,PENNSYLVANIA,REPUBLICAN,PA
1994,RHODE ISLAND,DEMOCRAT,RI
1994,SOUTH CAROLINA,REPUBLICAN,SC
1994,SOUTH DAKOTA,DEMOCRAT,SD
1994,TENNESSEE,REPUBLICAN,TN
1994,TEXAS,REPUBLICAN,TX
1994,UTAH,DEMOCRAT,UT
1994,VERMONT,INDEPENDENT,VT
1994,VIRGINIA,REPUBLICAN,VA
1994,WASHINGTON,DEMOCRAT,WA
1994,WEST VIRGINIA,DEMOCRAT,WV
1994,WISCONSIN,REPUBLICAN,WI
1994,WYOMING,REPUBLICAN,WY
1996,ALABAMA,DEMOCRAT,AL
1996,ALASKA,REPUBLICAN,AK
1996,ARIZONA,DEMOCRAT,AZ
1996,ARKANSAS,REPUBLICAN,AR
1996,CALIFORNIA,DEMOCRAT,CA
1996,COLORADO,REPUBLICAN,CO
1996,CONNECTICUT,DEMOCRAT,CT
1996,DELAWARE,REPUBLICAN,DE
1996,DISTRICT OF COLUMBIA,DEMOCRAT,
1996,FLORIDA,REPUBLICAN,FL
1996,GEORGIA,DEMOCRAT,GA
1996,HAWAII,DEMOCRAT,HI
1996,IDAHO,REPUBLICAN,ID
1996,ILLINOIS,DEMOCRAT,IL
1996,INDIANA,REPUBLICAN,IN
1996,IOWA,REPUBLICAN,IA
1996,KANSAS,REPUBLICAN,KS
1996,KENTUCKY,REPUBLICAN,KY
1996,LOUISIANA,REPUBLICAN,LA
1996,MAINE,DEMOCRAT,ME
1996,MARYLAND,DEMOCRAT,MD
1996,MASSACHUSETTS,DEMOCRAT,MA
1996,MICHIGAN,DEMOCRAT,MI
1996,MINNESOTA,REPUBLICAN,MN
1996,MISSISSIPPI,REPUBLICAN,MS
1996,MISSOURI,DEMOCRAT,MO
1996,MONTANA,REPUBLICAN,MT
1996,NEBRASKA,REPUBLICAN,NE
1996,NEVADA,REPUBLICAN,NV
1996,NEW HAMPSHIRE,REPUBLICAN,NH
1996,NEW JERSEY,DEMOCRAT,NJ
1996,NEW MEXICO,DEMOCRAT,NM
1996,NEW YORK,DEMOCRAT,NY
1996,NORTH CAROLINA,REPUBLICAN,NC
1996,NORTH DAKOTA,DEMOCRAT,ND
1996,OHIO,DEMOCRAT,OH
1996,OKLAHOMA,REPUBLICAN,OK
1996,OREGON,REPUBLICAN,OR
1996,PENNSYLVANIA,DEMOCRAT,PA
1996,RHODE ISLAND,DEMOCRAT,RI
1996,SOUTH CAROLINA,REPUBLICAN,SC
1996,SOUTH DAKOTA,REPUBLICAN,SD
1996,TENNESSEE,DEMOCRAT,TN
1996,TEXAS,REPUBLICAN,TX
1996,UTAH,REPUBLICAN,UT
1996,VERMONT,INDEPENDENT,VT
1996,VIRGINIA,REPUBLICAN,VA
1996,WASHINGTON,DEMOCRAT,WA
1996,WEST VIRGINIA,DEMOCRAT,WV
1996,WISCONSIN,REPUBLICAN,WI
1996,WYOMING,REPUBLICAN,WY
1998,ALABAMA,DEMOCRAT,AL
1998,ALASKA,REPUBLICAN,AK
1998,ARIZONA,DEMOCRAT,AZ
1998,ARKANSAS,REPUBLICAN,AR
1998,CALIFORNIA,DEMOCRAT,CA
1998,COLORADO,REPUBLICAN,CO
1998,CONNECTICUT,REPUBLICAN,CT
1998,DELAWARE,REPUBLICAN,DE
1998,DISTRICT OF COLUMBIA,DEMOCRAT,
1998,FLORIDA,DEMOCRAT,FL
1998,GEORGIA,REPUBLICAN,GA
1998,HAWAII,DEMOCRAT,HI
1998,IDAHO,REPUBLICAN,ID
1998,ILLINOIS,REPUBLICAN,IL
1998,INDIANA,REPUBLICAN,IN
1998,IOWA,REPUBLICAN,IA
1998,KANSAS,REPUBLICAN,KS
1998,KENTUCKY,REPUBLICAN,KY
1998,LOUISIANA,REPUBLICAN,LA
1998,MAINE,DEMOCRAT,ME
1998,MARYLAND,DEMOCRAT,MD
1998,MASSACHUSETTS,DEMOCRAT,MA
1998,MICHIGAN,REPUBLICAN,MI
1998,MINNESOTA,REPUBLICAN,MN
1998,MISSISSIPPI,REPUBLICAN,MS
1998,MISSOURI,DEMOCRAT,MO
1998,MONTANA,REPUBLICAN,MT
1998,NEBRASKA,REPUBLICAN,NE
1998,NEVADA,REPUBLICAN,NV
1998,NEW HAMPSHIRE,REPUBLICAN,NH
1998,NEW JERSEY,DEMOCRAT,NJ
1998,NEW MEXICO,REPUBLICAN,NM
1998,NEW YORK,DEMOCRAT,NY
1998,NORTH CAROLINA,REPUBLICAN,NC
1998,NORTH DAKOTA,DEMOCRAT,ND
1998,OHIO,DEMOCRAT,OH
1998,OKLAHOMA,REPUBLICAN,OK
1998,OREGON,DEMOCRAT,OR
1998,PENNSYLVANIA,REPUBLICAN,PA
1998,RHODE ISLAND,DEMOCRAT,RI
1998,SOUTH CAROLINA,REPUBLICAN,SC
1998,SOUTH DAKOTA,REPUBLICAN,SD
1998,TENNESSEE,DEMOCRAT,TN
1998,TEXAS,REPUBLICAN,TX
1998,UTAH,REPUBLICAN,UT
