,death
94319,1
97039,0
47730,0
136067,0
12535,0
68496,1
5398,0
89041,0
199429,0
109148,1
4475,0
85585,1
77584,0
187323,1
107720,1
57303,1
172161,0
217839,1
121742,0
234674,1
39769,1
153063,1
51136,0
232526,0
13679,0
140483,1
182598,0
141731,0
73295,1
111075,0
144269,0
84512,1
192841,1
145858,1
211323,0
140764,0
184565,0
106250,0
65708,0
80031,0
74029,0
104723,0
174573,0
25324,0
129783,0
62840,0
45423,0
79963,0
15841,1
227264,1
111806,0
81220,0
200330,0
18552,0
48417,0
4947,1
24707,1
182471,0
90461,0
90482,0
138606,0
238057,1
193877,0
28784,0
126692,1
138933,0
61222,1
60944,1
45608,1
60915,1
157786,0
86777,0
154025,0
3570,0
200082,0
104560,1
73603,0
42686,0
32586,0
5328,1
158995,0
122613,1
74156,0
125773,0
62855,0
39930,0
126530,0
174721,1
163151,0
235617,0
148680,1
135294,1
229448,1
171593,1
73688,0
194377,1
27097,0
140523,1
38896,1
66996,0
116364,1
157442,1
4936,1
121126,1
120777,0
219110,0
118474,1
52327,0
138168,0
224847,0
101032,1
62902,1
189419,1
49980,0
200481,0
229597,1
133636,0
8270,1
58485,0
111288,1
144600,0
38382,1
130959,0
151314,0
149014,0
3933,0
204664,0
77867,0
49649,0
26759,0
203957,0
48634,1
223100,1
10896,0
212028,1
139691,0
210192,1
209078,0
64533,0
42639,0
202877,1
231493,0
172950,1
103900,0
44173,0
187791,0
130584,1
187196,0
163745,0
30836,1
123207,1
149573,0
101315,0
116968,0
142132,1
176811,0
106273,1
53523,1
35951,1
37172,0
89266,0
234592,1
65081,0
178447,1
203632,0
230035,0
185545,1
39045,0
105847,0
44550,1
119383,0
29517,0
1846,0
202718,0
133687,0
22894,0
130437,0
185800,1
163544,0
123070,1
125493,0
211919,0
46946,1
211797,0
35043,0
180497,0
175000,1
32109,0
8037,0
71454,0
189891,1
176143,1
67238,0
129723,0
231683,0
151937,0
90769,1
96282,1
217388,1
233873,0
215692,1
17034,1
111047,1
124940,0
17985,0
38398,0
227621,1
56459,0
167970,1
47062,1
206604,1
48149,0
120039,1
19452,1
213971,1
93289,1
143230,1
155276,0
175185,0
108473,1
43860,1
15873,1
94104,1
32140,1
9800,0
104602,0
59077,0
238210,1
220012,1
10211,1
110930,0
110626,0
2265,1
88599,1
34688,0
7037,1
145971,0
227751,0
55325,0
143751,1
113886,0
148272,1
205777,0
82457,0
203375,1
153061,1
51147,0
172360,0
215959,0
91313,0
179353,1
213347,0
48658,0
106272,1
144365,0
117301,0
22666,0
68847,0
200687,0
16968,0
174926,1
187680,0
169217,0
181356,1
115662,0
